title,price_mln_MNT,flooring_material,number_of_balcony,year_of_commissioning,garage,window_type,number_of_storeys,door_type,area_sq_m,apartment_storey,leasing,district,number_of_windows,location,construction_progress
King tower- хотхонд 137мк 3 өрөө шинэ байр,3.4,Паркет,1.0,2022.0,Байхгүй,Вакум,15.0,Бүргэд,137.0,7.0,Лизинггүй,Хан-Уул,3.0,King Tower,Ашиглалтад орсон
Яармагийн 1-р буудлын ард баригдаж байгаа city palace хотхонд 2 өрөө байр,180.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,59.83,15.0,Лизинггүй,Хан-Уул,3.0,Яармаг,Ашиглалтад ороогүй
Төмөр замд 2 өрөө,120.0,Паркет,1.0,2008.0,Байхгүй,Вакум,6.0,Бүргэд,45.66,6.0,Банкны лизингтэй,Баянгол,6.0,Төмөр зам,Ашиглалтад орсон
Хос даль апартмент-д 80.77мкв 3 өрөө байр,291.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,80.77,14.0,Банкны лизингтэй,Баянгол,3.0,Алтай хотхон,Ашиглалтад орсон
Encanto town 3 129м² 4 өрөө шинэ орон сууц,5.8,Паркет,1.0,2023.0,Байгаа,Вакум,17.0,Төмөр вакум,129.0,10.0,Лизинггүй,Баянзүрх,4.0,Бусад,Ашиглалтад орсон
10-р хороолол энэрэл хотхонд 53м2 2 өрөө байр,100.0,Паркет,1.0,2006.0,Байхгүй,Вакум,6.0,Бүргэд,53.0,6.0,Лизинггүй,Баянгол,3.0,10-р хороолол,Ашиглалтад орсон
Арцат 2 дээр 3 өрөө,270.0,Паркет,2.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,114.0,16.0,Лизинггүй,Хан-Уул,4.0,Яармаг,Ашиглалтад орсон
"Чд, бага тойрогт 3 өрөө орон сууц",230.0,Паркет,1.0,1989.0,Байхгүй,Вакум,5.0,Бүргэд,84.0,1.0,Лизинггүй,Чингэлтэй,3.0,Бага тойрог,Ашиглалтад орсон
Зүүн 4 замд 55.6мкв 3 өрөө орон сууц,156.0,Паркет,2.0,2005.0,Байхгүй,Вакум,5.0,Төмөр,55.6,3.0,Банкны лизингтэй,Баянзүрх,4.0,13-р хороолол,Ашиглалтад орсон
Бзд улаанхуаранд 52мкв 2 өрөө,137.0,Паркет,1.0,2021.0,Байхгүй,Вакум,12.0,Төмөр,52.0,1.0,Лизинггүй,Баянзүрх,2.0,16-р хороолол,Ашиглалтад орсон
Кино үйлдвэрт улсын сургууль цэцэрлэгийн дэргэд 3 өрөө,206.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,68.64,8.0,Лизинггүй,Баянзүрх,3.0,15-р хороолол,Ашиглалтад орсон
Бздүүргийн баруун талд 51м² 3өрөө орон сууц,138.0,Паркет,0.0,2017.0,Байхгүй,Вакум,9.0,Бүргэд,51.0,7.0,Лизинггүй,Баянзүрх,3.0,Бусад,Ашиглалтад орсон
Баянмонгол хороололд 3 өрөө орон сууц,2.8,Паркет,1.0,2010.0,Байхгүй,Вакум,10.0,Бүргэд,98.58,3.0,Банкны лизингтэй,Баянзүрх,4.0,Баянмонгол хороолол,Ашиглалтад орсон
"Халдвар, түмэн наст хотхонд 2 өрөө орон сууц 39,9м2",125.0,Паркет,1.0,2014.0,Байхгүй,Вакум,12.0,Бүргэд,39.9,3.0,Банкны лизингтэй,Баянзүрх,2.0,Бусад,Ашиглалтад орсон
Богд ард 45.66м² засвар хийсэн 2 өрөө орон сууц,120.0,Паркет,1.0,2010.0,Байхгүй,Вакум,6.0,Бүргэд,44.66,6.0,Лизинггүй,Баянгол,1.0,Богд-Ар,Ашиглалтад орсон
"Сбд, авто плаза чанх хойно бүрэн засвар хийсэн гал тогоо тусдаа 2 өрөө байр",168.0,Паркет,1.0,1999.0,Байхгүй,Вакум,5.0,Бүргэд,52.0,3.0,Банкны лизингтэй,Сүхбаатар,3.0,100 айл,Ашиглалтад орсон
Vega city хотхонд 4 өрөө байр зарна,912.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,138.2,2.0,Лизинггүй,Хан-Уул,5.0,15-р хороолол,Ашиглалтад ороогүй
2өрөө,95.0,Паркет,1.0,2012.0,Байхгүй,Вакум,10.0,Бүргэд,41.3,5.0,Банкны лизингтэй,Баянзүрх,2.0,16-р хороолол,Ашиглалтад орсон
Арцат-2 т 3 өрөө байр,187.5,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,75.0,16.0,Хувь лизингтэй,Хан-Уул,3.0,Яармаг,Ашиглалтад орсон
Mandala garden яармаг 2 өрөө,215.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,59.4,11.0,Лизинггүй,Хан-Уул,2.0,Яармаг,Ашиглалтад орсон
Garden city хотхонд 95.83мкв 4 өрөө,407.29,Паркет,1.0,2022.0,Байгаа,Вакум,16.0,Бүргэд,95.83,7.0,Лизинггүй,Хан-Уул,5.0,Бусад,Ашиглалтад орсон
Наадам центр цэнгэлдэхэд байрлалтай 3 өрөө байр,500.0,Паркет,1.0,2021.0,Байхгүй,Вакум,24.0,Төмөр,80.0,1.0,Лизинггүй,Хан-Уул,5.0,120 мянгат,Ашиглалтад орсон
Дөлгөөн нуур хоймор оффисын баруун талд хоймор хотхонд 47.49 2 өрөө байр.,147.2,Паркет,1.0,2021.0,Байхгүй,Вакум,16.0,Төмөр вакум,47.49,4.0,Лизинггүй,Сүхбаатар,3.0,Баянбүрд,Ашиглалтад орсон
Алтан тэвш хотхонд 2өрөө,135.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,44.0,5.0,Лизинггүй,Баянзүрх,2.0,13-р хороолол,Ашиглалтад орсон
2өрөө байр,125.0,Паркет,1.0,2010.0,Байхгүй,Модон вакум,12.0,Бүргэд,47.1,9.0,Лизинггүй,Баянгол,2.0,Богд-Ар,Ашиглалтад орсон
Нарлаг хотхонд 55мкв 3 өрөө,130.0,Паркет,1.0,2010.0,Байгаа,Вакум,12.0,Бүргэд,55.0,5.0,Лизинггүй,Баянгол,3.0,"3, 4 хороолол",Ашиглалтад орсон
50мянгат уб их дэлгүүрийн зүүн талд засвар хийсэн 28м2 2 өрөө,195.0,Паркет,0.0,1980.0,Байхгүй,Вакум,4.0,Бүргэд,28.0,2.0,Банкны лизингтэй,Сүхбаатар,3.0,"40, 50 мянгат",Ашиглалтад орсон
Бгд модны-2 3 өрөө 62м2 байр,225.0,Паркет,1.0,2012.0,Байхгүй,Вакум,5.0,Бүргэд,62.0,1.0,Банкны лизингтэй,Баянгол,3.0,"3, 4 хороолол",Ашиглалтад орсон
Худ мишээл экспо-н баруун талд 2 өрөө орон сууц,160.0,Паркет,1.0,2015.0,Байхгүй,Вакум,12.0,Бүргэд,52.0,3.0,Банкны лизингтэй,Хан-Уул,3.0,Мишээл,Ашиглалтад орсон
Сбдт сөүл эмнэлгийн хажууд 2 өрөө байр,188.0,Паркет,1.0,2023.0,Байхгүй,Вакум,14.0,Төмөр,57.0,4.0,Лизинггүй,Сүхбаатар,3.0,Бага тойрог,Ашиглалтад орсон
Яармагт байрлалтай байр,140.0,Паркет,2.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,61.0,6.0,Банкны лизингтэй,Хан-Уул,5.0,Яармаг,Ашиглалтад ороогүй
Хан виллад 2 өрөө байр,115.0,Паркет,1.0,2023.0,Байхгүй,Вакум,17.0,Бүргэд,43.21,11.0,Лизинггүй,Хан-Уул,1.0,Нисэх,Ашиглалтад ороогүй
"Бзд, дэлгэрэх апартмент хотхонд 54.36м2 2-өрөө байр",2.3,Паркет,2.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,54.36,7.0,Лизинггүй,Баянзүрх,2.0,14-р хороолол,Ашиглалтад ороогүй
Төмөр замд шинэ 55м2 2 өрөө,218.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,54.46,10.0,Лизинггүй,Баянгол,2.0,Төмөр зам,Ашиглалтад орсон
Амартүвшин хотхонд 2 өрөө,2.25,Паркет,0.0,2018.0,Байхгүй,Вакум,16.0,Бүргэд,92.25,1.0,Лизинггүй,Баянзүрх,3.0,13-р хороолол,Ашиглалтад орсон
2 oroo bair,73.0,Паркет,1.0,2015.0,Байхгүй,Вакум,16.0,Бүргэд,28.0,7.0,Лизинггүй,Сонгино Хайрхан,2.0,5 шар,Ашиглалтад орсон
Цэцэрлэгт хүрээлэнгийн ард 1 өрөө,155.0,Паркет,1.0,2018.0,Байхгүй,Вакум,16.0,Бүргэд,30.0,4.0,Лизинггүй,Баянзүрх,2.0,Бусад,Ашиглалтад орсон
19 хороолол хийморь хотхонд 98мкв 3 өрөө,256.0,Паркет,2.0,2010.0,Байхгүй,Вакум,12.0,Бүргэд,98.0,3.0,Лизинггүй,Хан-Уул,4.0,Бусад,Ашиглалтад орсон
Барс захын хойно 2 өрөө байр,150.0,Паркет,1.0,1992.0,Байхгүй,Вакум,9.0,Бүргэд,55.0,8.0,Лизинггүй,Баянгол,4.0,Бусад,Ашиглалтад орсон
Зайсанд chariot residence хотхонд 205мкв 4 өрөө,922.5,Паркет,1.0,2020.0,Байгаа,Вакум,6.0,Төмөр вакум,205.0,1.0,Банкны лизингтэй,Хан-Уул,5.0,Зайсан,Ашиглалтад орсон
Зайсан хунгийн хотхонд 3 өрөө,325.0,Паркет,1.0,2016.0,Байгаа,Вакум,6.0,Төмөр,87.4,3.0,Лизинггүй,Хан-Уул,3.0,Бусад,Ашиглалтад орсон
Бзд кино үйлдвэрт гал тогоо тусдаа 32м2 2-өрөө байр,105.0,Паркет,1.0,1999.0,Байхгүй,Вакум,9.0,Бүргэд,32.0,8.0,Лизинггүй,Баянзүрх,2.0,Офицер,Ашиглалтад орсон
Мишээл экспо төвийн баруун талд 44мкв 2 өрөө,125.0,Паркет,1.0,2016.0,Байхгүй,Вакум,12.0,Төмөр вакум,44.0,12.0,Лизинггүй,Хан-Уул,2.0,Мишээл,Ашиглалтад орсон
Зайсанд golden vill хотхонд 3 өрөө,3.5,Паркет,1.0,2016.0,Байхгүй,Вакум,16.0,Төмөр вакум,74.0,8.0,Банкны лизингтэй,Хан-Уул,3.0,Бусад,Ашиглалтад орсон
"Нисэх,буянт ухаа-1 хороолол",2.35,Паркет,1.0,2017.0,Байхгүй,Вакум,9.0,Төмөр,33.47,9.0,Лизинггүй,Хан-Уул,1.0,Нисэх,Ашиглалтад орсон
Худ-т дээдсийн өргөө хотхонд 52.30мкв 2 өрөө,157.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Төмөр,52.3,11.0,Банкны лизингтэй,Хан-Уул,3.0,Яармаг,Ашиглалтад орсон
Худ-т евро таун хотхонд 70.32мкв 3 өрөө орон сууц,180.0,Паркет,1.0,2017.0,Байхгүй,Вакум,9.0,Төмөр,70.32,3.0,Банкны лизингтэй,Хан-Уул,3.0,Нисэх,Ашиглалтад орсон
1 uruu bair,70.0,Паркет,1.0,2019.0,Байхгүй,Вакум,9.0,Бүргэд,29.34,6.0,Лизинггүй,Баянзүрх,1.0,Амгалан,Ашиглалтад орсон
Яармаг - богд вилла - 3 өрөө,231.2,Паркет,1.0,2020.0,Байхгүй,Вакум,13.0,Бүргэд,70.4,15.0,Банкны лизингтэй,Хан-Уул,5.0,Яармаг,Ашиглалтад орсон
Хотын төв ардын эрх 2 өрөө,155.0,Паркет,1.0,1999.0,Байхгүй,Вакум,5.0,Бүргэд,50.0,3.0,Банкны лизингтэй,Сүхбаатар,3.0,100 айл,Ашиглалтад орсон
19-р хороолол - хуучны 2 өрөө,145.0,Паркет,1.0,1980.0,Байхгүй,Мод,5.0,Бүргэд,27.0,1.0,Банкны лизингтэй,Хан-Уул,3.0,19-р хороолол,Ашиглалтад орсон
Энхтайвны гүүрний баруун талд 2 өрөө,300.0,Паркет,1.0,2012.0,Байхгүй,Вакум,12.0,Бүргэд,73.0,7.0,Лизинггүй,Хан-Уул,2.0,Бусад,Ашиглалтад орсон
Solaris residence 3 өрөө,350.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,70.0,13.0,Лизинггүй,Хан-Уул,3.0,Нархан хотхон,Ашиглалтад орсон
Их наяд-н хажууд river villa хотхонд 2 өрөө орон сууц 73м2,227.0,Ламинат,0.0,2022.0,Байхгүй,Төмөр вакум,2.0,Төмөр вакум,73.0,16.0,Лизинггүй,Баянзүрх,2.0,Олимп хотхон,Ашиглалтад орсон
"Бзд-ийн, 8-р хороо, x apartment хотхонд 64 м2 2 өрөө орон сууц",160.0,Паркет,1.0,2018.0,Байхгүй,Вакум,16.0,Бүргэд,64.0,10.0,Лизинггүй,Баянзүрх,2.0,Офицер,Ашиглалтад орсон
Бзд-их монгол хороолол 38мкв 2 өрөө,136.0,Паркет,1.0,2013.0,Байхгүй,Төмөр вакум,6.0,Бүргэд,38.0,10.0,Лизинггүй,Баянзүрх,2.0,Их Монгол хороолол,Ашиглалтад орсон
Мишээл экспо шинэ 2 өрөө,3.2,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Вакум,60.13,12.0,Лизинггүй,Хан-Уул,3.0,Мишээл,Ашиглалтад орсон
Баянмонгол хороололын чанх урд santo apartment-д 3 өрөө,365.0,Паркет,2.0,2020.0,Байгаа,Вакум,16.0,Бүргэд,81.3,8.0,Банкны лизингтэй,Баянзүрх,5.0,Баянмонгол хороолол,Ашиглалтад орсон
"25-р эмийн сан,зам дагуу 3 өрөө байр",2.4,Паркет,2.0,2006.0,Байхгүй,Вакум,5.0,Бүргэд,115.0,3.0,Лизинггүй,Баянгол,4.0,25-р эмийн сан,Ашиглалтад орсон
"Mint,home plaza-н зүүн талд санто апартмент 3 өрөө",365.0,Паркет,2.0,2020.0,Байгаа,Вакум,16.0,Вакум,81.3,8.0,Банкны лизингтэй,Баянзүрх,5.0,Баянмонгол хороолол,Ашиглалтад орсон
Энхтайвны гүүрний баруун талд 5 өрөө дуплекс,4.0,Паркет,3.0,2008.0,Байхгүй,Вакум,13.0,Бүргэд,209.0,12.0,Лизинггүй,Хан-Уул,8.0,120 мянгат,Ашиглалтад орсон
Sky garden-д 3 өрөө байр,860.0,Паркет,1.0,2023.0,Байгаа,Вакум,22.0,Төмөр,10.0,10.0,Лизинггүй,Хан-Уул,5.0,River Garden,Ашиглалтад орсон
Богд ар 2 өрөө,120.0,Паркет,1.0,2008.0,Байхгүй,Вакум,6.0,Бүргэд,45.66,6.0,Лизинггүй,Баянгол,2.0,Бусад,Ашиглалтад орсон
"Бзд, цэцэрлэгт хүрээлэнгийн хойно санто смарт апартмент хотхонд 81.8м2 3 өрөө",360.0,Паркет,2.0,2020.0,Байхгүй,Вакум,16.0,Бүргэд,81.0,8.0,Банкны лизингтэй,Баянзүрх,5.0,Баянмонгол хороолол,Ашиглалтад орсон
"Сбд, үйлдвэрчин хотхон 69мкв 3 өрөө",190.0,Паркет,1.0,2016.0,Байхгүй,Вакум,16.0,Бүргэд,69.0,2.0,Лизинггүй,Сүхбаатар,4.0,Бусад,Ашиглалтад орсон
Дөлгөөн нуурт лаго верда хотхон 2өрөө,160.0,Паркет,1.0,2023.0,Байгаа,Вакум,16.0,Төмөр,52.0,6.0,Лизинггүй,Сүхбаатар,2.0,Дөлгөөн нуур,Ашиглалтад орсон
"Талбайгаас хойш 1км, дөлгөөн нуурт",115.0,Паркет,1.0,2022.0,Байхгүй,Вакум,1.0,Төмөр,34.0,11.0,Лизинггүй,Сүхбаатар,2.0,Дөлгөөн нуур,Ашиглалтад орсон
Могул таун-д супер 4 өрөө,300.0,Паркет,1.0,2014.0,Байгаа,Вакум,10.0,Бүргэд,132.22,7.0,Лизинггүй,Хан-Уул,7.0,Зайсан,Ашиглалтад орсон
Эх нялхасын урд гал тогоо тусдаа 3 өрөө,250.0,Паркет,2.0,2010.0,Байхгүй,Вакум,9.0,Бүргэд,98.1,9.0,Лизинггүй,Баянгол,4.0,Гандан,Ашиглалтад орсон
10-р хороололд 2 өрөө,145.0,Паркет,1.0,1997.0,Байхгүй,Вакум,9.0,Бүргэд,29.0,2.0,Лизинггүй,Баянгол,3.0,10-р хороолол,Ашиглалтад орсон
"Бгд, коёо таун хотхонд 3 өрөө байр",223.7,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Төмөр,72.17,13.0,Лизинггүй,Баянгол,3.0,Алтай хотхон,Ашиглалтад орсон
"Бгд, коёо таун хотхонд 3 өрөө байр",199.5,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Төмөр,64.36,9.0,Лизинггүй,Баянгол,3.0,Алтай хотхон,Ашиглалтад орсон
Astra river view хотхонд 3 өрөө орон сууц,293.0,Паркет,1.0,2023.0,Байхгүй,Вакум,12.0,Төмөр,88.79,2.0,Лизинггүй,Хан-Уул,4.0,Бусад,Ашиглалтад ороогүй
Sky residence 3-т 48м2 2 өрөө,2.5,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,47.42,16.0,Лизинггүй,Баянзүрх,2.0,16-р хороолол,Ашиглалтад орсон
Хүннүмаллын урд dream plaza-д 3 өрөө,516.0,Паркет,1.0,2022.0,Байхгүй,Вакум,15.0,Төмөр,120.0,10.0,Лизинггүй,Хан-Уул,5.0,Яармаг,Ашиглалтад орсон
Ану элчингийн зүүн талт 50.3м2 3 өрөө орон сууц,170.0,Паркет,1.0,2011.0,Байхгүй,Вакум,12.0,Бүргэд,50.0,12.0,Банкны лизингтэй,Баянзүрх,3.0,11-р хороолол,Ашиглалтад орсон
"Бгд, нарны гүүрний зүүн талд нарны хороололд 80мкв, 3 өрөө",4.5,Паркет,1.0,2017.0,Байхгүй,Вакум,23.0,Бүргэд,80.0,15.0,Лизинггүй,Баянгол,4.0,Нарны хороолол,Ашиглалтад орсон
River villa c блок 75 мкв 2 өрөө,206.0,Паркет,0.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,75.0,2.0,Лизинггүй,Хан-Уул,2.0,Бусад,Ашиглалтад орсон
Мишээл экспогийн баруун талд дулаахан 2 өрөө,150.0,Паркет,1.0,2012.0,Байхгүй,Вакум,16.0,Бүргэд,52.38,6.0,Лизинггүй,Хан-Уул,3.0,Мишээл,Ашиглалтад орсон
Зэндмэнэ эрдэнэ хотхоны 1а блокт 2 өрөө байр 53.81м2,2.5,Паркет,1.0,2022.0,Байгаа,Вакум,16.0,Бүргэд,53.81,12.0,Лизинггүй,Хан-Уул,3.0,Яармаг,Ашиглалтад ороогүй
Хотын төвд дөлгөөннуурт 3 өрөө байр,300.0,Паркет,2.0,2012.0,Байгаа,Вакум,12.0,Бүргэд,92.7,3.0,Банкны лизингтэй,Сүхбаатар,5.0,Дөлгөөн нуур,Ашиглалтад орсон
"Бзд, 14 хороолол, халдварт тавилгатай 3 өрөө",195.0,Паркет,1.0,2016.0,Байхгүй,Вакум,12.0,Бүргэд,66.44,6.0,Лизинггүй,Баянзүрх,2.0,14-р хороолол,Ашиглалтад орсон
Сансарт 3 өрөө дуплекс орон сууц,205.0,Паркет,2.0,2015.0,Байхгүй,Вакум,6.0,Бүргэд,78.4,5.0,Лизинггүй,Баянзүрх,5.0,Сансар,Ашиглалтад орсон
"Худ, кинг тауэр хотхонд 68мкв 2 өрөө",245.0,Паркет,0.0,2016.0,Байхгүй,Вакум,12.0,Бүргэд,68.0,7.0,Лизинггүй,Хан-Уул,2.0,Marshall town,Ашиглалтад орсон
Алтай хотхонд 2 өрөө,115.0,Паркет,1.0,2016.0,Байхгүй,Вакум,12.0,Бүргэд,44.0,7.0,Лизинггүй,Баянгол,2.0,Алтай хотхон,Ашиглалтад орсон
Сансарт 2 өрөө байр,127.0,Ламинат,1.0,1989.0,Байхгүй,Мод,5.0,Төмөр,31.0,3.0,Лизинггүй,Баянзүрх,3.0,15-р хороолол,Ашиглалтад орсон
11р хороололд 2өрөөг 3 өрөө болгосон,175.0,Паркет,1.0,1989.0,Байхгүй,Вакум,9.0,Төмөр,54.0,5.0,Лизинггүй,Сүхбаатар,3.0,11-р хороолол,Ашиглалтад орсон
Hunnu 2222 standart хороололд 4 өрөө орон сууц,624.5,Паркет,2.0,2022.0,Байхгүй,Вакум,25.0,Бүргэд,117.83,11.0,Лизинггүй,Хан-Уул,5.0,Хүннү,Ашиглалтад орсон
King tower хотхонд 5 өрөө шинэ дуплекс байр,690.0,Паркет,0.0,2023.0,Байхгүй,Вакум,17.0,Бүргэд,181.0,9.0,Лизинггүй,Хан-Уул,5.0,King Tower,Ашиглалтад орсон
Баруун 4 замд 3 өрөө байр,200.0,Паркет,0.0,2015.0,Байхгүй,Вакум,16.0,Төмөр,67.22,16.0,Лизинггүй,Баянгол,3.0,Баруун 4 зам,Ашиглалтад орсон
10-р хороолол тэмүүлэл хотхон 54м2 2-өрөө,138.0,Паркет,0.0,2014.0,Байхгүй,Вакум,13.0,Бүргэд,53.38,1.0,Банкны лизингтэй,Баянгол,3.0,10-р хороолол,Ашиглалтад орсон
Баянмонгол хороололд 78м2 2 өрөө байр,227.0,Паркет,1.0,2013.0,Байхгүй,Вакум,10.0,Төмөр,78.5,2.0,Лизинггүй,Баянзүрх,3.0,Баянмонгол хороолол,Ашиглалтад орсон
"Бгд 3,4-р хороолол гал тогоо тусдаа 2 өрөө",187.0,Паркет,1.0,2006.0,Байхгүй,Вакум,5.0,Бүргэд,69.0,2.0,Лизинггүй,Баянгол,3.0,"3, 4 хороолол",Ашиглалтад орсон
10-р хороолол төв зам дагуу 2 өрөө 51м2,121.0,Паркет,1.0,2012.0,Байхгүй,Вакум,16.0,Бүргэд,51.0,16.0,Лизинггүй,Баянгол,2.0,10-р хороолол,Ашиглалтад орсон
Нисэхд 64.04мкв байр,2.5,Паркет,1.0,2020.0,Байхгүй,Вакум,12.0,Төмөр вакум,64.05,8.0,Лизинггүй,Хан-Уул,3.0,Нисэх,Ашиглалтад орсон
Bzd saruul tenger 2hothond 2oroo bair,115.0,Паркет,0.0,2017.0,Байхгүй,Вакум,3.0,Вакум,48.5,3.0,Лизинггүй,Баянзүрх,2.0,16-р хороолол,Ашиглалтад орсон
Цоглог хотхон 41.3м2 2 өрөө,123.0,Паркет,1.0,2014.0,Байхгүй,Вакум,12.0,Төмөр,41.3,3.0,Лизинггүй,Баянгол,2.0,10-р хороолол,Ашиглалтад орсон
16р хороололд 2 өрөө байр,120.0,Паркет,1.0,1989.0,Байхгүй,Вакум,5.0,Төмөр,28.0,2.0,Лизинггүй,Баянзүрх,3.0,16-р хороолол,Ашиглалтад орсон
Москва хороололд 3 өрөө 70м2,158.0,Паркет,2.0,2012.0,Байхгүй,Вакум,10.0,Бүргэд,70.0,2.0,Банкны лизингтэй,Сонгино Хайрхан,3.0,Москва хороолол,Ашиглалтад орсон
Бгд 6-р бичилд 2 өрөө,122.0,Паркет,1.0,2000.0,Байхгүй,Вакум,9.0,Бүргэд,60.0,9.0,Лизинггүй,Баянгол,4.0,6-р бичил,Ашиглалтад орсон
Gemmall-н хойно х-apertment 46 м2 2өрөө,3.8,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,46.0,14.0,Банкны лизингтэй,Баянгол,2.0,25-р эмийн сан,Ашиглалтад орсон
Модны 2-ын голын зам дагуу 2 өрөө 42м2,120.0,Паркет,1.0,2012.0,Байхгүй,Вакум,12.0,Бүргэд,42.0,1.0,Банкны лизингтэй,Баянгол,2.0,Баруун 4 зам,Ашиглалтад орсон
Хан уул 19-ийн үйлчилгээний төвийн дэргэд угсармалын 4 өрөө,230.0,Паркет,1.0,1991.0,Байхгүй,Вакум,5.0,Төмөр,79.0,4.0,Лизинггүй,Хан-Уул,4.0,19-р хороолол,Ашиглалтад орсон
Х-apertment 56 м2 2өрөө,3.8,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,56.0,14.0,Банкны лизингтэй,Баянгол,2.0,25-р эмийн сан,Ашиглалтад орсон
